Date,Open,High,Low,Close,Adj Close,Volume
2021-10-29,77999.953125,78400.000000,76650.000000,77308.148438,77157.562500,9403
2021-11-01,77694.000000,78978.148438,77250.000000,78741.046875,78587.671875,7650
2021-11-02,78350.000000,79390.000000,78350.000000,78585.203125,78432.140625,6829
2021-11-03,78860.000000,79190.000000,77800.000000,77968.898438,77817.039063,7732
2021-11-04,78375.000000,78633.953125,78100.046875,78412.500000,78259.781250,1245
2021-11-08,78880.000000,80308.000000,78550.000000,79942.250000,79786.539063,9209
2021-11-09,80295.000000,80489.851563,78001.000000,78508.703125,78355.773438,23116
2021-11-10,78508.000000,78928.750000,78050.000000,78167.500000,78015.250000,9926
2021-11-11,78399.851563,78399.851563,76900.000000,77210.898438,77060.515625,12757
2021-11-12,77580.000000,78297.851563,77254.101563,78174.851563,78022.585938,11688
2021-11-15,78400.000000,78870.046875,77800.000000,78485.500000,78332.625000,10112
2021-11-16,78410.000000,79448.000000,78210.250000,78444.796875,78292.000000,16137
2021-11-17,78694.453125,79500.000000,78527.046875,79374.148438,79222.570313,10113
2021-11-18,79600.000000,79665.953125,77299.000000,77464.750000,77316.828125,10930
2021-11-22,77842.000000,77899.000000,75020.000000,75657.601563,75513.125000,15725
2021-11-23,75800.000000,76699.000000,75093.648438,76501.546875,76355.460938,7408
2021-11-24,76654.546875,77397.851563,76114.148438,76469.546875,76323.523438,6410
2021-11-25,76569.546875,76698.000000,75280.601563,75663.398438,75518.914063,10280
2021-11-26,75650.000000,75650.000000,74511.000000,75190.351563,75046.765625,9869
2021-11-29,74905.000000,75099.953125,73050.000000,73818.250000,73677.281250,8554
2021-11-30,73541.000000,75996.000000,73541.000000,74630.796875,74488.281250,25947
2021-12-01,74989.898438,75360.000000,73501.101563,73708.601563,73567.851563,11738
2021-12-02,74124.000000,74280.000000,73250.101563,73881.703125,73740.617188,11728
2021-12-03,74189.953125,74691.851563,73764.851563,73882.296875,73741.210938,6322
2021-12-06,73950.000000,74136.648438,72954.796875,73129.046875,72989.398438,7682
2021-12-07,73690.000000,73879.796875,73351.000000,73608.898438,73468.335938,4638
2021-12-08,74048.000000,75242.750000,74009.351563,74655.296875,74512.742188,8118
2021-12-09,74934.351563,75275.000000,74101.101563,74668.546875,74525.960938,6709
2021-12-10,74055.000000,75000.000000,74000.000000,74221.000000,74079.273438,4831
2021-12-13,74680.000000,75111.000000,73645.000000,73792.000000,73651.085938,7479
2021-12-14,73650.000000,74200.000000,73500.000000,74111.851563,73970.328125,5830
2021-12-15,74005.000000,74550.000000,73800.000000,73985.500000,73844.218750,3594
2021-12-16,74060.000000,74298.648438,73100.000000,73306.453125,73166.468750,8181
2021-12-17,73270.000000,73380.000000,72100.000000,72558.046875,72419.492188,10564
2021-12-20,72000.000000,72199.898438,68700.000000,69950.500000,69816.929688,19827
2021-12-21,69950.500000,71139.703125,69950.000000,70413.648438,70279.187500,11270
2021-12-22,70499.851563,71290.000000,70236.000000,70549.453125,70414.726563,8950
2021-12-23,70990.000000,71500.000000,70700.046875,71029.601563,70893.968750,8715
2021-12-24,71300.000000,71300.000000,69706.750000,70090.703125,69956.851563,8524
2021-12-27,70089.000000,70689.453125,69010.000000,70526.203125,70391.531250,7843
2021-12-28,70540.000000,71999.000000,70540.000000,71617.703125,71480.937500,8194
2021-12-29,71850.000000,72697.851563,71400.000000,72559.046875,72420.492188,9449
2021-12-30,72698.953125,72888.000000,71850.296875,72119.546875,71981.828125,6786
2021-12-31,72011.000000,73699.250000,72011.000000,73338.000000,73197.953125,6473
2022-01-03,73589.953125,73979.953125,73113.648438,73367.703125,73227.601563,5871
2022-01-04,73667.703125,74000.000000,73350.000000,73937.203125,73796.015625,6005
2022-01-05,73937.203125,74400.000000,73783.000000,74046.000000,73904.601563,7370
2022-01-06,73905.000000,74495.000000,73200.000000,74155.296875,74013.687500,7559
2022-01-07,74210.148438,74573.953125,73551.046875,74189.296875,74047.625000,5550
2022-01-10,74210.000000,74979.101563,74150.000000,74286.398438,74144.546875,5451
2022-01-11,74286.000000,74445.000000,73918.000000,74291.296875,74149.437500,5864
2022-01-12,74291.296875,75498.101563,74260.046875,75383.750000,75239.796875,7862
2022-01-13,75551.000000,76300.000000,75030.203125,75977.046875,75831.960938,9077
2022-01-14,75970.000000,76277.148438,75345.046875,76134.648438,75989.265625,4493
2022-01-17,76134.648438,77185.453125,75800.046875,76822.203125,76675.507813,6852
2022-01-18,76851.000000,77299.898438,76000.000000,76296.851563,76151.156250,8057
2022-01-19,76300.000000,76780.296875,75650.000000,76529.851563,76383.718750,6542
2022-01-20,76097.953125,76097.953125,73500.000000,73728.250000,73587.460938,16368
2022-01-21,73640.000000,74800.000000,72054.351563,72697.101563,72558.281250,11025
2022-01-24,72700.000000,72989.953125,70002.000000,71077.351563,70941.625000,10330
2022-01-25,70900.000000,72249.546875,69815.398438,70569.953125,70435.187500,11974
2022-01-27,70120.000000,71049.000000,69459.546875,70712.648438,70577.609375,10272
2022-01-28,71070.000000,72850.000000,71070.000000,71327.703125,71191.500000,9147
2022-01-31,72180.000000,72500.046875,71401.046875,72148.101563,72010.328125,6201
2022-02-01,72400.000000,72680.000000,71200.203125,71515.453125,71378.890625,12365
2022-02-02,71601.000000,72674.648438,71185.000000,71462.453125,71325.992188,8742
2022-02-03,70450.000000,71930.000000,70111.296875,70987.148438,70851.593750,10786
2022-02-04,70987.000000,71297.500000,69851.898438,70006.398438,69872.718750,11034
2022-02-07,70398.953125,70421.851563,68600.000000,68798.796875,68667.421875,12143
2022-02-08,69240.000000,69800.000000,68500.000000,69426.351563,69293.773438,11669
2022-02-09,69601.000000,70579.851563,69601.000000,70426.601563,70292.117188,5620
2022-02-10,70919.601563,70919.601563,69501.000000,69769.203125,69635.968750,14416
2022-02-11,69700.000000,69700.000000,68038.203125,68233.453125,68103.148438,15042
2022-02-14,67866.000000,67866.000000,65708.000000,65929.000000,65803.093750,18628
2022-02-15,66475.000000,66999.898438,65007.050781,66680.148438,66552.820313,14444
2022-02-16,67240.000000,67275.000000,66000.898438,66140.601563,66014.296875,12266
2022-02-17,66450.000000,66641.398438,65439.648438,65615.750000,65493.425781,7727
2022-02-18,65315.000000,66263.296875,65210.300781,65638.953125,65516.589844,19661
2022-02-21,65574.898438,65574.898438,64602.351563,64734.648438,64613.964844,10513
2022-02-22,63000.000000,65999.046875,63000.000000,65769.601563,65646.984375,26513
2022-02-23,66164.203125,66799.953125,65701.000000,65803.601563,65680.921875,11015
2022-02-24,64350.000000,65850.000000,63000.000000,63945.601563,63826.386719,43260
2022-02-25,64100.000000,65814.953125,64022.699219,65651.703125,65529.308594,19903
2022-02-28,65252.000000,66250.000000,64450.000000,65740.953125,65618.390625,13429
2022-03-02,65660.000000,66500.000000,65140.851563,66223.851563,66100.390625,18103
2022-03-03,66950.000000,66980.000000,65723.000000,66035.453125,65912.343750,13310
2022-03-04,65600.000000,66199.953125,65000.000000,65911.296875,65788.414063,18449
2022-03-07,65140.000000,66448.000000,63741.601563,66153.101563,66029.765625,29607
2022-03-08,66150.000000,66650.000000,65501.000000,66394.851563,66271.070313,8208
2022-03-09,66600.000000,66950.000000,65890.203125,66087.851563,65964.648438,6893
2022-03-10,66687.851563,67497.796875,66555.000000,66881.898438,66757.210938,9680
2022-03-11,66590.000000,68094.046875,66365.000000,67898.296875,67771.718750,7705
